Ship_Length,Max_Speed,Engine_Noise,People_Capacity,Ship_Age,Ship_Type
12,48,1,5,10,0
9,53,3,9,9,0
262,16,7,14,25,2
16,81,1,12,9,0
286,32,4,3384,6,1
345,40,5,5637,1,1
10,88,2,10,14,0
12,67,2,6,8,0
179,22,10,60,32,2
18,89,1,8,7,0
307,23,4,1877,7,1
11,77,3,2,9,0
388,34,6,3153,8,1
338,20,10,47,23,2
306,28,5,5719,5,1
187,11,7,71,35,2
20,84,1,14,5,0
371,49,6,4208,9,1
448,37,5,2041,9,1
312,28,4,4490,9,1
7,60,2,7,13,0
11,55,2,7,10,0
345,26,4,2097,5,1
224,14,7,24,13,2
316,18,7,46,10,2
309,37,5,4028,8,1
27,44,3,11,6,0
14,86,3,13,9,0
19,51,2,12,7,0
384,14,9,42,24,2
404,23,5,5197,3,1
437,32,6,2783,5,1
7,51,3,9,9,0
260,41,4,2959,5,1
21,82,2,11,8,0
258,33,4,5131,6,1
18,79,3,6,2,0
188,21,9,33,9,2
434,30,6,1633,5,1
20,76,1,5,8,0
344,15,10,26,35,2
11,45,1,12,6,0
19,73,2,7,5,0
13,64,2,13,5,0
6,65,2,10,13,0
267,22,8,56,16,2
26,51,2,9,7,0
288,49,5,2093,5,1
26,65,1,7,10,0
362,24,8,15,8,2
248,20,7,11,21,2
21,76,1,4,6,0
12,48,1,8,2,0
13,76,1,7,12,0
255,20,7,56,8,2
14,66,3,13,3,0
424,47,5,4149,3,1
419,28,4,4509,2,1
330,23,7,65,11,2
20,58,1,10,11,0
17,86,2,14,8,0
18,75,3,3,1,0
415,21,6,3327,2,1
316,34,5,5827,7,1
303,30,6,2903,5,1
369,23,7,37,11,2
281,41,4,4479,7,1
7,65,1,9,13,0
6,56,2,8,2,0
445,33,6,3259,6,1
396,48,6,5062,8,1
387,38,4,3696,4,1
151,13,8,77,32,2
333,12,10,23,6,2
310,12,10,19,21,2
286,41,5,2463,4,1
336,24,8,15,6,2
11,51,3,5,5,0
16,40,1,3,10,0
266,21,4,2868,5,1
270,36,6,3278,4,1
368,14,7,58,8,2
203,22,9,49,31,2
13,57,1,9,3,0
188,15,7,65,24,2
278,27,6,3968,1,1
301,34,6,5065,4,1
386,13,9,22,12,2
198,18,7,19,10,2
231,17,8,36,14,2
423,39,5,2163,8,1
325,12,7,62,26,2
7,68,3,6,7,0
430,38,5,3876,6,1
440,45,5,2462,3,1
317,22,9,12,8,2
198,20,10,17,36,2
22,49,2,5,13,0
374,23,6,4243,2,1
205,17,9,10,8,2
20,44,3,4,5,0
19,61,1,5,11,0
19,68,1,12,9,0
418,25,6,4802,8,1
20,76,2,14,6,0
5,79,2,8,7,0
5,79,2,2,9,0
156,23,8,29,27,2
254,31,4,4529,5,1
29,62,3,2,9,0
369,45,5,3942,1,1
326,40,4,2022,2,1
27,80,1,5,8,0
